sno,sna,tot,sbi,mday,lat,lng,bemp,act
1123,捷運三重國小站,52,20,20210224160332,25.070418,121.497126,32,1
1124,五堵火車站,68,30,20210224160323,25.077493,121.666869,38,1
1125,捷運南勢角站(4號出口),76,27,20210224160326,24.98942,121.50995,49,1
1126,柳堤公園,42,5,20210224160328,25.087989,121.462192,37,1
1127,新北市立圖書館總館,36,19,20210224160335,25.001583,121.455524,17,1
1128,永福國小,36,5,20210224160343,25.077714,121.480315,31,1
1129,明志國小,64,4,20210224160338,25.045729,121.426269,60,1
1130,蘆洲三民公園,34,15,20210224160317,25.094306,121.460134,18,1
1131,臺北醫院,34,7,20210224160342,25.043536,121.459772,26,1
1132,重新重安街口,36,24,20210224160322,25.058443,121.489751,12,1
1133,柴埕市民活動中心,38,7,20210224160323,24.966775,121.516479,31,1
1134,思賢國小,52,4,20210224160327,25.046446,121.457716,47,1
1135,莊敬公園,38,0,20210224160334,25.020983,121.470821,38,1
1136,豐年國小,34,7,20210224160332,25.031278,121.44323,27,1
1137,新海長江路口,36,8,20210224160315,25.02853,121.457367,28,1
1138,捷運新埔站(4號出口),50,11,20210224160324,25.023491,121.468559,39,1
1139,板橋仁愛公園,52,39,20210224160319,24.99643,121.459696,13,1
1140,泰山國小,32,14,20210224160339,25.062345,121.431475,18,1
1141,縣民民族路口,36,3,20210224160336,25.010012,121.461097,33,1
1142,光華東帝士,40,15,20210224160336,25.010795,121.427836,25,1
1143,廣福公園,38,7,20210224160318,24.991643,121.462872,31,1
1144,板橋四維公園,54,7,20210224160332,25.025464,121.462633,46,1
1145,捷運頂埔站(2號出口),52,12,20210224160337,24.959276,121.419008,40,1
1146,龍門龍濱路口,36,13,20210224160321,25.073475,121.500977,23,1
1147,青潭國小,40,20,20210224160334,24.953101,121.551813,20,1
1148,金城忠義路口,34,12,20210224160334,24.969399,121.440808,22,1
1149,華德公園,38,8,20210224160333,24.991683,121.45332,30,1
1150,橋東里(忠孝東路),40,1,20210224160341,25.073682,121.666257,39,1
1151,中山國中,36,10,20210224160327,25.018559,121.467509,26,1
1152,捷運土城站(2號出口),52,20,20210224160334,24.972631,121.443563,32,1
1153,四川遠東路口,48,24,20210224160335,24.998003,121.457355,24,1
1154,員林社區公園,42,5,20210224160331,24.977883,121.443237,37,1
1155,中正橋,30,1,20210224160333,25.017757,121.516809,28,1
1156,北港國小,44,2,20210224160324,25.089027,121.645946,42,1
1157,捷運新店站,54,14,20210224160342,24.958605,121.538659,40,1
1158,錦和運動公園,36,12,20210224160335,24.992086,121.490671,24,1
1159,新樹公園,32,6,20210224160322,25.003383,121.433154,26,1
1160,中和環球購物中心,40,17,20210224160336,25.006367,121.474223,22,1
1161,楓樹腳公園,36,5,20210224160328,25.061938,121.434939,31,1
1162,厚德公園,36,4,20210224160343,25.071988,121.4912,32,1
1163,板橋信義公園,40,6,20210224160342,24.996183,121.456476,34,1
1164,國光里(國光路),34,6,20210224160316,25.017755,121.458308,28,1
1165,民生長江路口,100,8,20210224160326,25.030904,121.463596,90,1
1166,華福市民活動中心,36,6,20210224160320,24.995482,121.467525,30,1
1167,浮洲合宜住宅(合安一路),34,8,20210224160337,24.999329,121.446343,26,1
1168,建福公園,38,10,20210224160320,25.027694,121.426685,28,1
1169,水河里活動中心,52,9,20210224160335,25.093949,121.473913,43,1
1170,金城延和路口,38,0,20201102150708,24.989155,121.470454,0,0
1171,國光公園,48,14,20210224160330,25.019828,121.453852,34,1
1172,樹林火車站(後站),66,13,20210224160319,24.992553,121.424652,53,1
1173,文林國小,32,4,20210224160339,24.997856,121.42636,26,1
1174,土城綜合體育場,44,15,20210224160337,24.983671,121.454211,25,1
1175,板橋福德公園,32,23,20210224160344,25.011498,121.467415,9,1
1176,光華公園,32,3,20210224160337,25.005412,121.413157,29,1
1177,樹林大安活動中心,36,5,20210224160343,24.986391,121.41477,31,1
1178,三民中山一路口,36,6,20210224160326,25.082229,121.476004,30,1
1179,義學國小,34,3,20210224160317,25.051762,121.431669,31,1
1180,自然公園,34,9,20210224160325,25.08984,121.487987,24,1
1181,板林溪北路口,46,31,20210224160334,24.990555,121.42635,15,1
1182,新北市藝文中心,40,7,20210224160319,25.026542,121.472279,33,1
1183,大安中央路口,32,16,20210224160315,24.965619,121.43261,16,1
1184,中和地政事務所,28,3,20210224160319,24.990393,121.502397,25,1
1185,華夏科技大學,64,5,20210224160340,24.980672,121.507652,57,1
1186,同興公園,34,2,20210224160340,25.055188,121.432128,32,1
1187,新五泰國民運動中心,42,13,20210224160325,25.055865,121.434262,29,1
1188,溪洲公園停車場,34,3,20210224160328,24.986723,121.42682,31,1
1189,崑崙公園,38,7,20210224160333,24.993406,121.429636,29,1
1190,捷運海山站(3號出口),74,30,20210224160319,24.986923,121.449335,44,1
1191,興化公園,38,3,20210224160341,25.065234,121.461115,35,1
1192,潤泰社區,36,31,20210224160320,25.017953,121.479375,5,1
1193,西盛館,30,8,20210224160345,25.011905,121.432713,22,1
1194,秀朗成功路口,38,6,20210224160324,24.995821,121.52655,32,1
1195,板橋國中,54,1,20210224160320,25.024903,121.45431,51,1
1196,永豐公園活動中心,32,1,20210224160323,25.021127,121.476853,31,1
1197,義仁市民活動中心,36,9,20210224160323,25.050479,121.427667,27,1
1198,鶯歌國中,34,6,20210224160329,24.951734,121.342963,28,1
